,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA
26164,2020,SP,VEREADOR,PAULA CAROLINE MIRANDA GONÇALVES,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,22,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,187834.86,DEFERIDO,INDEFERIDO COM RECURSO
26193,2020,GO,VEREADOR,MAYARA SILVA DE SOUZA,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,29,FEMININO,ENSINO MÉDIO INCOMPLETO,PRETA,128473.84,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
26227,2020,MG,VEREADOR,JÉSSICA FLÁVIA DA CRUZ,APTO,DEFERIDO,CIDADANIA,29,FEMININO,ENSINO MÉDIO INCOMPLETO,PRETA,51742.72,DEFERIDO,INDEFERIDO COM RECURSO
26228,2020,PI,VEREADOR,ANTONIO DE PAIVA BORGES PIMENTEL,APTO,DEFERIDO COM RECURSO,PARTIDO SOCIAL LIBERAL,29,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
26237,2020,PB,VEREADOR,VITORIA MARIA DA SILVA,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,23,FEMININO,SUPERIOR COMPLETO,BRANCA,20580.25,DEFERIDO,INDEFERIDO COM RECURSO
26256,2020,BA,VEREADOR,YGOR ALMEIDA SANTANA,APTO,DEFERIDO,CIDADANIA,24,MASCULINO,SUPERIOR INCOMPLETO,PARDA,451919.94,DEFERIDO,INDEFERIDO COM RECURSO
26335,2020,CE,VEREADOR,MARIA LARISSA PENA DE FREITAS,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,20,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,23982.66,DEFERIDO,INDEFERIDO COM RECURSO
26530,2020,CE,VEREADOR,JOSEFA LUCIANA DOS SANTOS,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,29364.3,DEFERIDO,INDEFERIDO COM RECURSO
26531,2020,AM,VEREADOR,EDNELSON BELEM GONZAGA,APTO,INDEFERIDO COM RECURSO,PARTIDO SOCIAL DEMOCRÁTICO,25,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
26559,2020,MA,VEREADOR,DANIELE SALAZAR DE SOUSA,APTO,DEFERIDO COM RECURSO,PARTIDO SOCIAL DEMOCRÁTICO,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,PARDA,39786.41,DEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
